Year,OilPrice-USA,GasPrice-USA,CoalPrice-USA,ElectricityPrice-USA,MPG-USA,FleetSize-USA,EnergyIntensity-USA,OilConsumption-USA
1941,18.3411339144,,,,,,,
1942,17.295320103599998,,,,,,,
1943,16.436654916,,,,,,,
1944,16.289704376,,,,,,,
1945,13.817143031999999,,,,,,,
1946,13.578229896,,,,,,,
1947,20.147867102,,,,,,,
1948,19.578765583299994,,,,,,,
1949,17.689858601799997,,,,,,,
1950,16.823964395699996,,,,,,,
1951,15.5878022322,,,,,,,
1952,15.2595099855,,,,,,,
1953,17.0854889535,,,,,,,
1954,17.0031492477,,,,,,,
1955,17.071765669199998,,,,,,,
1956,16.824746551799997,,,,,,,
1957,15.982293326999999,,,,,,,
1958,17.0428495952,,,,,,,
1959,16.8949509872,,,,,,,
1960,15.189708479,,,,,74431800.0,,
1961,14.24946204,,,,,,,
1962,14.095875024,,,,,,,
1963,13.929489090000002,,,,,,,
1964,13.737505320000002,,,,,,,
1965,13.507124796,,,,,91739623.0,1.729803897121254,551.3363601406733
1966,13.140222480000002,,,,,,1.6683296446464004,578.8542914182308
1967,12.769053858,,,,,,1.6325459500468003,601.038148825894
1968,12.257097138000002,,,,,,1.5834655203337054,642.7819386769742
1969,11.629950156,,,,,,1.5423475858504583,678.4846976775531
1970,10.981471643999999,,,,,111242295.0,1.5119504064980516,705.6918141103954
1971,13.092439852800002,,,,,,1.42064845411506,729.640952252702
1972,14.054349645599999,,,,,,1.3580158781784752,788.8695288238198
1973,17.5529812843,,,,,,1.2674991285072315,833.1375065999677
1974,55.6890876894,,,,,,1.1387966748061342,799.7381834717213
1975,50.802863725899996,,,,13.1,137912779.0,1.0162857954230997,783.4714379904387
1976,53.304175232000006,,,,14.2,,0.9630970023003996,841.2677536046247
1977,54.4050717936,,,,15.1,,0.8883977238870532,888.2629898447449
1978,50.96592546012269,,,,15.8,,0.7858005441973049,869.5250772488698
1979,103.19707121212122,,,,15.9,,0.7133132678939191,851.2808214628535
1980,105.93854502427185,,,,19.2,161490159.0,0.6328941520962186,788.1475499806934
1981,93.68559746974697,,,,20.5,,0.5479588362601698,734.1550368478955
1982,80.97876155440414,,,,21.1,,0.5030508538445263,693.6433611590453
1983,70.31980271084338,,,,21,,0.45944555221914835,688.1528170730421
1984,65.65302463907604,,,,21,,0.43579125073394,712.091372934256
1985,60.708071747211896,,,,21.3,177133282.0,0.40384211655193675,708.8144561637095
1986,31.205796624087593,,,,21.8,,0.38375090098068915,738.600811809931
1987,38.46318427350176,,,,22,,0.37416304334903766,753.3282353000887
1988,29.90028899584869,,,,21.9,,0.362948507726375,785.0910452191647
1989,34.8378927098879,1.6966666666666665,,,21.4,,0.3465583724837216,784.3326024767035
1990,43.025422724140014,1.6383333333333334,31.591918000000003,6.57,21.2,193057376.0,0.3290027705268444,770.0176698486626
1991,34.810149412249636,1.4866666666666666,29.01053181818182,6.75,21.3,192313834.0,0.31827284909256265,752.7559523504793
1992,32.63981987471276,1.7716666666666667,28.534538636363642,6.82,20.8,194427346.0,0.30531898163968046,769.3063573370722
1993,27.837825765961245,2.120833333333333,29.853958333333335,6.93,20.9,198041338.0,0.2963573479069492,775.2407872513589
1994,25.29671117920648,1.92,31.716177272727272,6.91,20.4,201801921.0,0.28406113926918897,795.580438879001
1995,26.46484496361483,1.6866666666666665,27.00635,6.89,20.5,205427212.0,0.276710920087596,793.0109165721778
1996,31.222327056104525,2.7566666666666664,29.86230909090909,6.86,20.4,210441249.0,0.27052513259259175,821.842199438252
1997,28.194815024844235,2.525,29.76,6.85,20.2,211580033.0,0.2565748289416825,832.6101437357613
1998,18.48974197389877,2.0841666666666665,31.003106083333336,6.74,20.1,215496003.0,0.24455630046535157,847.9685173595656
1999,25.565509783448974,2.265833333333333,31.294297,6.64,19.7,220461056.0,0.23398389102878497,871.666089788349
2000,39.22128851937515,4.225833333333333,29.90448041666667,6.81,19.8,225821241.0,0.22484071204258574,879.8436426337224
2001,32.71382121314907,4.068333333333333,50.154650000000004,7.29,19.6,235331382.0,0.21261871198888552,879.518593254024
2002,32.967965647296275,3.3308333333333326,33.197984409722224,7.2,19.5,234624135.0,0.2088741691719518,879.5581302302489
2003,37.13786280789511,5.625,38.52270579861111,7.44,19.6,236760033.0,0.1998998687552863,894.172844151692
2004,48.01194020645844,5.849166666666666,64.90173993055556,7.61,19.3,243010550.0,0.19126710113655626,928.7899592754496
2005,66.16705104977726,8.785833333333333,70.12235520833333,8.14,19.9,247421120.0,0.17949129674232814,930.9169949602582
2006,76.5885429640997,6.764166666666667,62.95671627083334,8.9,20.1,250844644.0,0.16838609888482547,920.9148799355671
2007,82.74947765109239,6.95,51.16428790625,9.13,20.6,254403081.0,0.16382685007864622,915.3135646886784
2008,107.06455044814795,8.849166666666664,118.78633582986112,9.74,21,255917664.0,0.15764312690073284,856.2105241674305
2009,68.13341367270728,3.893333333333333,68.08459290625001,9.82,22.4,254212610.0,0.15300443338595057,811.465435212425
2010,86.40804603987598,4.388849427134089,71.62561683333332,9.83,22.6,250070048.0,0.15271753031062302,824.4981491612222
2011,117.22941806963667,4.0090325667737545,87.38069887500001,9.9,22.4,253215681.0,0.14602575356643835,806.3945293621301
2012,115.28009377085714,2.755371572296451,72.05788684027777,9.84,23.7,253639386.0,0.13682200090148508,789.7357066486344
2013,110.55223028377506,3.7072900048458393,71.39022985416666,10.07,24.3,255876822.0,0.1360990947160001,803.6341083780267
2014,99.06345446257504,4.347741550354184,68.9983919513889,10.44,24.3,260350938.0,0.13200097626628374,807.9558400658531
2015,52.38675889328064,2.6036668093353295,53.58601804166668,10.41,24.8,263610219.0,0.12585621782081216,820.6427764352319
2016,,,,,,,,828.3395353585034
2017,,,,,,,,835.8459324733432
2018,,,,,,,,834.8700309589321
2019,,,,,,,,831.2108286760642
2020,,,,,,,,824.2894277542222
2021,,,,,,,,818.8201872467124
2022,,,,,,,,812.6418849254989
2023,,,,,,,,805.8216786689811
2024,,,,,,,,796.5923844219969
2025,,,,,,,,786.5729144660095
2026,,,,,,,,776.1121390249689
2027,,,,,,,,765.2147294377837
2028,,,,,,,,754.1481709597396
2029,,,,,,,,743.0369063355372
2030,,,,,,,,732.454957546381
2031,,,,,,,,721.9150320475271
2032,,,,,,,,711.4491148378129
2033,,,,,,,,700.8831900039994
2034,,,,,,,,690.5212451912956
2035,,,,,,,,681.0152936137541
